term,coefficient,std_error_HC3,p_value,ci_low,ci_high,significant_0_05
Intercept,1.8642767192666738,0.2803079931783713,2.9147366197104754e-11,1.314883148058367,2.4136702904749807,True
C(branch_code)[T.JHB1],1.6203706057087304,0.1713665086019025,3.2122039056841495e-21,1.284498420692628,1.9562427907248328,True
C(branch_code)[T.MID1],-0.6402159769148678,0.09813967557692331,6.867699436610145e-11,-0.8325662065000826,-0.4478657473296529,True
C(branch_code)[T.PTC1],0.5666127571079821,0.10618622304832434,9.500425534814127e-08,0.35849158427892935,0.7747339299370348,True
C(branch_code)[T.SOW1],0.9654613877449824,0.10614159588701233,9.374086489593051e-20,0.7574276825448334,1.1734950929451313,True
C(service_code)[T.IDAPP],-0.6982103255414863,0.122232577257898,1.1156032059498717e-08,-0.9377817747044761,-0.45863887637849654,True
C(service_code)[T.PASSPORT],-1.5010282961686066,0.2222730894613499,1.447375463167783e-11,-1.9366755462453018,-1.0653810460919113,True
C(booking_source)[T.WALK_IN],-2.1291640521695108,0.056705603713229524,1.5370042489684335e-308,-2.2403049931690413,-2.0180231111699802,True
C(queue_type)[T.PRIORITY],-7.129027761434802,0.42560277141817654,5.62221677778985e-63,-7.963193865134861,-6.294861657734743,True
C(day_of_week)[T.Monday],-0.04288918002761346,0.08585447106436526,0.6173872221275973,-0.2111608512255056,0.12538249117027866,False
C(day_of_week)[T.Thursday],0.1801569617335953,0.0863591633279958,0.03696630323764333,0.01089611187571135,0.3494178115914792,True
C(day_of_week)[T.Tuesday],-0.05972699771686279,0.08464546860916966,0.4804284357915273,-0.22562906764535104,0.10617507221162545,False
C(day_of_week)[T.Wednesday],-0.06929475794737328,0.08331820758405327,0.405585045168099,-0.23259544406854968,0.09400592817380313,False
C(is_peak_period)[T.True],-0.014557476455326408,0.06261537223845531,0.81615709903411,-0.13728135092126798,0.10816639801061514,False
arrival_offset_minutes,-0.4072568027192248,0.0036624379873637708,0.0,-0.4144350492700692,-0.40007855616838045,True
people_ahead,3.263236430340822,0.07946241669718972,0.0,3.107492955489816,3.4189799051918284,True
general_waiting,-6.748986164730479,0.06779212208305646,0.0,-6.881856282448813,-6.616116047012146,True
priority_waiting,-3.894215640055282,0.09510724324916706,0.0,-4.08062241149254,-3.7078088686180246,True
serving_count,-0.450271357571892,0.1319009645935953,0.000640852562266972,-0.7087924977014317,-0.19175021744235238,True
open_general_counters,4.780519498430766,0.18011606512737488,3.23407808393132e-155,4.427498497744041,5.133540499117491,True
open_priority_counters,1.0372838037340792,0.1908035176743199,5.43685320490988e-08,0.6633157809688606,1.411251826499298,True
effective_open_counters,-5.976543478285228,0.15916585823305718,1.4543201924687674e-308,-6.288502827990428,-5.664584128580028,True
counter_utilisation,-25.626105463752967,0.7872333423985026,1.9547665870197815e-232,-27.16905446228312,-24.083156465222814,True
queue_pressure_index,24.946030612609288,0.2792394499065633,0.0,24.398731347729647,25.49332987748893,True
workload_minutes_ahead,0.1991712915371324,0.003003775132610335,0.0,0.19328400045955912,0.20505858261470566,True
recent_avg_service_minutes_10,0.03354014586835945,0.012877033110281872,0.00919685382791561,0.008301624744477185,0.05877866699224171,True
recent_avg_wait_minutes_10,0.01968126021385479,0.005107201438716595,0.00011637984138312919,0.009671329332179117,0.029691191095530464,True
recent_throughput_60m,-0.02654128134277558,0.007548046059706801,0.00043758722001070976,-0.04133517977345037,-0.011747382912100781,True
service_target_minutes,0.1414326032734523,0.022003145682628632,1.2943360593465517e-10,0.09830723018891221,0.1845579763579924,True
hour_of_day,0.0830649441574748,0.010424992571850158,1.6143773612723939e-15,0.0626323341775509,0.1034975541373987,True
