feature,mean_abs_shap
num__workload_minutes_ahead,7.1027327
num__people_ahead,5.742375
num__arrival_offset_minutes,3.87622
num__effective_open_counters,2.5935218
num__queue_pressure_index,1.4677145
num__open_general_counters,0.7605912
num__general_waiting,0.30403677
cat__queue_type_GENERAL,0.25779012
num__hour_of_day,0.24510236
num__counter_utilisation,0.2227641
num__serving_count,0.20955369
num__recent_avg_wait_minutes_10,0.1238349
cat__branch_code_SOW1,0.11440191
num__recent_avg_service_minutes_10,0.09422999
cat__branch_code_MID1,0.09224859
cat__is_peak_period_False,0.08649723
num__recent_throughput_60m,0.07453754
cat__branch_code_CEN1,0.059353437
cat__day_of_week_Thursday,0.05544287
cat__branch_code_JHB1,0.051646765
cat__booking_source_APPOINTMENT,0.04542171
num__priority_waiting,0.040805615
cat__is_peak_period_True,0.026110088
cat__day_of_week_Wednesday,0.01802882
cat__day_of_week_Tuesday,0.016309759
num__service_target_minutes,0.013733539
cat__day_of_week_Monday,0.011793995
cat__day_of_week_Friday,0.010517865
cat__queue_type_PRIORITY,0.007933222
cat__branch_code_PTC1,0.00792719
cat__booking_source_WALK_IN,0.0022364818
num__open_priority_counters,0.0022118352
cat__service_code_IDAPP,0.0019550887
cat__service_code_COLLECT,0.00052256545
cat__service_code_PASSPORT,0.00022651811
