feature,importance
num__people_ahead,0.4401354
num__queue_pressure_index,0.21375743
num__workload_minutes_ahead,0.1831414
cat__queue_type_GENERAL,0.029537564
num__effective_open_counters,0.029267482
num__arrival_offset_minutes,0.02627411
num__open_general_counters,0.023355957
cat__booking_source_APPOINTMENT,0.006376089
num__counter_utilisation,0.005656203
cat__branch_code_CEN1,0.005556004
cat__branch_code_JHB1,0.0044329185
num__serving_count,0.004049841
cat__queue_type_PRIORITY,0.0033460432
cat__branch_code_SOW1,0.0024264632
num__hour_of_day,0.002291424
cat__day_of_week_Thursday,0.0020856361
cat__is_peak_period_True,0.0020008762
num__priority_waiting,0.00197167
cat__day_of_week_Tuesday,0.0015660527
num__general_waiting,0.0014616782
cat__day_of_week_Wednesday,0.0012691771
cat__branch_code_PTC1,0.0012255188
cat__is_peak_period_False,0.0011029802
cat__day_of_week_Monday,0.0010720261
num__recent_avg_wait_minutes_10,0.0010684358
cat__day_of_week_Friday,0.0009932793
cat__branch_code_MID1,0.0009231663
num__recent_avg_service_minutes_10,0.00075701595
num__recent_throughput_60m,0.00064688904
num__service_target_minutes,0.00053854
cat__service_code_PASSPORT,0.00044421648
num__open_priority_counters,0.00043868046
cat__service_code_IDAPP,0.0003620382
cat__service_code_COLLECT,0.0002728915
cat__booking_source_WALK_IN,0.00019493628
